index,bitstring,energy,prob
291,111100010001100111,102.25,0.0009765625
292,011000101000110111,102.25,0.0009765625
293,110010000111101111,102.25,0.0009765625
294,010001101000000000,102.5,0.0009765625
295,010001011010000000,102.5,0.0009765625
296,010100101110010000,102.5,0.0009765625
297,001010110010001000,102.5,0.0009765625
298,000001010101001000,102.5,0.0009765625
299,100100110011011000,102.5,0.0009765625
300,111010011000001100,102.5,0.0009765625
301,110011010100001100,102.5,0.0009765625
302,110001100001001100,102.5,0.0009765625
303,001000010111011100,102.5,0.0009765625
304,101000011110000010,102.5,0.0009765625
305,011110000101000010,102.5,0.0009765625
306,110000101011010010,102.5,0.0009765625
307,100100101000001010,102.5,0.0009765625
308,100110010010001010,102.5,0.0009765625
309,110010100010000110,102.5,0.0009765625
310,010010010011000110,102.5,0.0009765625
311,000100000010000001,102.5,0.0009765625
312,010000001110000001,102.5,0.0009765625
313,000100101101000001,102.5,0.0009765625
314,001100001111000001,102.5,0.0009765625
315,001010010110001001,102.5,0.0009765625
316,100100010001001101,102.5,0.0009765625
317,001000110010000011,102.5,0.0009765625
318,000010011101000011,102.5,0.0009765625
319,100110001000100000,112.5,0.0009765625
320,001001101000110000,112.5,0.0009765625
321,001001111001101000,112.5,0.0009765625
322,100001011011100100,112.5,0.0009765625
323,100001001111100100,112.5,0.0009765625
324,001110101001110100,112.5,0.0009765625
325,010000001011101100,112.5,0.0009765625
326,111101000100111100,112.5,0.0009765625
327,110100000111111100,112.5,0.0009765625
328,010001011110110010,112.5,0.0009765625
329,111000001111110010,112.5,0.0009765625
330,011010100110101010,112.5,0.0009765625
331,010001111110101010,112.5,0.0009765625
332,111010000011101010,112.5,0.0009765625
333,011001110111101010,112.5,0.0009765625
334,110110100101111010,112.5,0.0009765625
335,100110111100100110,112.5,0.0009765625
336,111010000101100110,112.5,0.0009765625
337,011110011100110110,112.5,0.0009765625
338,000010010010110110,112.5,0.0009765625
339,111010000001111110,112.5,0.0009765625
340,110011101001111001,112.5,0.0009765625
341,011000110101111001,112.5,0.0009765625
342,101101010110110101,112.5,0.0009765625
343,000100000100101011,112.5,0.0009765625
344,010000111101101011,112.5,0.0009765625
345,001001001110111011,112.5,0.0009765625
346,000011011011111011,112.5,0.0009765625
347,100110001010100111,112.5,0.0009765625
348,000011000111110111,112.5,0.0009765625
349,000011110110101111,112.5,0.0009765625
350,111000010011111111,112.5,0.0009765625
351,110001010000010000,112.75,0.0009765625
352,100111010001010000,112.75,0.0009765625
353,000100111101001000,112.75,0.0009765625
354,011000101010000100,112.75,0.0009765625
355,010110101110010100,112.75,0.0009765625
356,001001010111010100,112.75,0.0009765625
357,111010010000011100,112.75,0.0009765625
358,100100111010011100,112.75,0.0009765625
359,000011110101010010,112.75,0.0009765625
360,011100110011010010,112.75,0.0009765625
361,011100101011010010,112.75,0.0009765625
362,011100000100001010,112.75,0.0009765625
363,001011011010001010,112.75,0.0009765625
364,101010010010000110,112.75,0.0009765625
365,010110000000011110,112.75,0.0009765625
366,110100011001011110,112.75,0.0009765625
367,000011000110000001,112.75,0.0009765625
368,011100110001000001,112.75,0.0009765625
369,000000101010001101,112.75,0.0009765625
370,000010010111001101,112.75,0.0009765625
371,111000010000011101,112.75,0.0009765625
372,100100001110011101,112.75,0.0009765625
373,000100011000000011,112.75,0.0009765625
374,101000010110011111,112.75,0.0009765625
375,001100111100110000,122.75,0.0009765625
376,011000001101110000,122.75,0.0009765625
377,101001011110111000,122.75,0.0009765625
378,101111000011100100,122.75,0.0009765625
379,001110010001111100,122.75,0.0009765625
380,101111000111100010,122.75,0.0009765625
381,111110111000101010,122.75,0.0009765625
382,100010010100101010,122.75,0.0009765625
383,100010001100101010,122.75,0.0009765625
384,011100010111101010,122.75,0.0009765625
385,110000101010111010,122.75,0.0009765625
386,101110100001111010,122.75,0.0009765625
387,111010100101111010,122.75,0.0009765625
388,110000010101111010,122.75,0.0009765625
389,010001101111111010,122.75,0.0009765625
390,011101011110100110,122.75,0.0009765625
391,111000101101110110,122.75,0.0009765625
392,010010001011110110,122.75,0.0009765625
393,111010010001101110,122.75,0.0009765625
394,110111001100100001,122.75,0.0009765625
395,011001001100110001,122.75,0.0009765625
396,100101110010110001,122.75,0.0009765625
397,100111111000101001,122.75,0.0009765625
398,001101010100101001,122.75,0.0009765625
399,100111010011101001,122.75,0.0009765625
400,010001000000100101,122.75,0.0009765625
401,111010010001100101,122.75,0.0009765625
402,110011001101100101,122.75,0.0009765625
403,011000011011100101,122.75,0.0009765625
404,001110001111100101,122.75,0.0009765625
405,001001001001110101,122.75,0.0009765625
406,001010011001110101,122.75,0.0009765625
407,000001010111101101,122.75,0.0009765625
408,000111000100111101,122.75,0.0009765625
409,110001101100111101,122.75,0.0009765625
410,101101011010111101,122.75,0.0009765625
