index,bitstring,probability
94,010000001100010110,0.0009765625
95,010000100010001110,0.0009765625
96,000010000000010101,0.0009765625
97,001010100100010101,0.0009765625
98,000000000000001101,0.0009765625
99,010101000010100000,0.0009765625
100,000111000101110000,0.0009765625
101,110001100101110000,0.0009765625
102,100111010000101000,0.0009765625
103,100101000010101000,0.0009765625
104,010111101001111000,0.0009765625
105,010110101000110100,0.0009765625
106,010100001000101100,0.0009765625
107,110001000000111100,0.0009765625
108,110001010000100010,0.0009765625
109,001111011001100010,0.0009765625
110,000001010001101010,0.0009765625
111,000011001000100110,0.0009765625
112,110000100000110110,0.0009765625
113,000100110000101110,0.0009765625
114,010001000010101110,0.0009765625
115,011100000000100001,0.0009765625
116,000011100000100001,0.0009765625
117,000001010100100001,0.0009765625
118,100001010100100001,0.0009765625
119,010000000000101001,0.0009765625
120,100001000100111001,0.0009765625
121,111000010100100101,0.0009765625
122,011000000010100101,0.0009765625
123,000000000000101101,0.0009765625
124,110000110000100011,0.0009765625
125,000110010001100011,0.0009765625
126,100010000101110011,0.0009765625
127,000011010000101011,0.0009765625
128,010000100101110111,0.0009765625
129,010000100010101111,0.0009765625
130,100100110001000000,0.0009765625
131,101100000101000000,0.0009765625
132,000001100110001000,0.0009765625
133,100011010100000100,0.0009765625
134,000000010001000100,0.0009765625
135,001000000011000100,0.0009765625
136,010100001000011100,0.0009765625
137,000010100000000010,0.0009765625
138,000011000110000010,0.0009765625
139,010100100001000010,0.0009765625
140,000000010101000010,0.0009765625
141,010000100011010010,0.0009765625
142,010000010010001010,0.0009765625
143,010000010001001010,0.0009765625
144,000011001000011010,0.0009765625
145,000000111001011010,0.0009765625
146,000100000100000110,0.0009765625
147,110100001001001110,0.0009765625
148,000110011000000001,0.0009765625
149,110000100101000001,0.0009765625
150,100000010010010001,0.0009765625
151,101000010000001001,0.0009765625
152,000000000010001001,0.0009765625
153,001100001001011001,0.0009765625
154,110000000100100000,0.0009765625
155,010010100100100000,0.0009765625
156,011111000010110000,0.0009765625
157,101101000110111000,0.0009765625
158,001100001001111000,0.0009765625
159,010101000010100100,0.0009765625
160,001111100000101100,0.0009765625
161,100101001010101100,0.0009765625
162,000001000000111100,0.0009765625
163,101001000010100010,0.0009765625
164,000111100010110010,0.0009765625
165,000110101000100110,0.0009765625
166,010000010100100110,0.0009765625
167,000110011010100110,0.0009765625
168,010110000000110110,0.0009765625
169,000001000111110110,0.0009765625
170,001011000000101110,0.0009765625
171,100011010100101110,0.0009765625
172,110010001100111110,0.0009765625
173,011000100010111110,0.0009765625
174,000101001010111110,0.0009765625
175,000110000000100001,0.0009765625
176,110110001000110001,0.0009765625
177,011110000001110001,0.0009765625
178,000011000000100101,0.0009765625
179,001001100100100101,0.0009765625
180,001101000110110101,0.0009765625
181,000000000000100011,0.0009765625
182,110000101001110011,0.0009765625
183,000100111001101011,0.0009765625
184,000010111000111011,0.0009765625
185,100100000000100111,0.0009765625
186,100010001000110111,0.0009765625
187,100000011011000000,0.0009765625
188,010100100011011000,0.0009765625
189,010011101100000100,0.0009765625
